Название;Адрес;Телефон;Часы работы;Сайт
London-Auto Север;Дмитровское ш., 9, стр. 4, Москва;+7 (985) 454-50-07, +7 (915) 156-37-37;ежедневно, 10:00–21:00;https://london-auto.ru/
АвтоМакс;Сказочная ул., 7, д. Нижнее Мячково;+7 (495) 649-50-75, +7 (495) 797-00-40, +7 (926) 504-01-44;ежедневно, 09:00–19:00;http://avtomakservice.ru/
Omoda Бизнес Кар Каширский;МКАД, 26-й километр, 5, стр. 1, Москва;+7 (495) 463-25-41;ежедневно, 08:00–21:00;https://omoda-bc.ru/
Auto-Rad;Новохохловская ул., 11, стр. 2;+7 (495) 504-08-46;ежедневно, 09:00–21:00;https://infoautoinfo.ru/
Опен Дизель;Симферопольское ш., 3Б, Москва;+7 (916) 916-66-19, +7 (995) 301-01-41;пн-сб 10:00–19:00;https://open-diesel.com/
Gpc. auto;Павелецкая наб., 2, стр. 2, Москва;+7 (926) 762-28-76;вт-сб 10:00–20:00;https://gpc-auto.clients.site/
Автодом центр Кузовного Ремонта Алтуфьево;МКАД, 85-й километр, вл5с1, торгово-промышленная зона Алтуфьево, посёлок Вешки;+7 (495) 154-82-66, +7 (495) 500-50-00;ежедневно, 09:00–21:00;https://avtodom.ru/sl/p2aaaeo
Техцентр Планета Железяка;МКАД, 86-й километр, вл13с2, Москва;+7 (495) 955-79-88, +7 (495) 955-79-88;ежедневно, 09:00–21:00;https://mkadservis.ru/
ИП Сиволоб Сергей Александрович;Ярцевская ул., 34, стр. 1, Москва;+7 (915) 105-72-52;ежедневно, круглосуточно;
ИП Гурия Александр Владимирович;Красноармейская ул., 2А, стр. 4, Москва;+7 (916) 165-74-91;ежедневно, круглосуточно;
Автодом Porsche центр Ленинский;Ленинский просп., 107, Москва;+7 (495) 172-79-16, +7 (495) 500-50-00, +7 (495) 788-19-11;ежедневно, 09:00–21:00;https://porsche-avtodom.ru/
Карсити Маркет;ул. Генерала Белобородова, 38, Москва;+7 (915) 360-60-60, +7 (915) 361-61-61, 8 (800) 511-73-31;"пн-сб 10:00–20:00; вс 10:00–19:00";http://carcity.market/
Абска;Жуков пр., 19, Москва;+7 (495) 151-15-03, +7 (495) 545-45-79;пн-сб 10:00–20:00;https://sto.abska.su/
AutoBarService;Кетчерская ул., 13, Москва;+7 (916) 370-77-22;ежедневно, 09:00–21:00;https://autobarservice.clients.site/
Hongqi, Панавто Сити;1-й Магистральный тупик, вл9, Москва;+7 (495) 121-47-76;ежедневно, 09:00–22:00;https://hongqi-panavto.ru/
Toyota и Lexus Бизнес Кар Рублевский;Рублёвское ш., 74;+7 (495) 846-10-31;ежедневно, 08:00–21:00;http://toyota-rublevsky.ru/
Магавто;Каширское ш., 5, корп. 1, Москва;+7 (915) 000-10-07;ежедневно, 10:00–20:00;http://mag-oil.ru/
Srt Team;д. Язово, 42, корп. 2;+7 (916) 723-34-03, +7 (926) 796-97-26;пн-пт 10:00–19:00;http://srtteam.ru/
Шинсервис;ул. Садовники, 11А, стр. 1А, Москва;+7 (495) 152-73-42;"пн-пт 09:00–21:00; сб,вс 09:00–20:00";https://www.shinservice.ru/
Форсунка МСК;Краснобогатырская ул., 2, стр. 26, Москва;+7 (495) 373-92-54;ежедневно, 09:00–21:00;https://forsunki.snetkoff.ru/
Шиномонтаж Свиблово;Уржумская ул., 4, корп. 1, Москва;+7 (926) 621-32-30, +7 (991) 242-69-39;ежедневно, 08:00–23:00;https://shinomontazhsviblovo.moscow/
Автодом Кутузовский;Кутузовский просп., 12А, Москва;+7 (495) 172-38-44;ежедневно, 11:00–22:00;https://avtodom.ru/
Премио;Перовская ул., 68Б, Москва;+7 (926) 216-34-29, +7 (495) 301-30-12, +7 (495) 301-53-61;ежедневно, 09:00–21:00;http://avtomar.ru/
Бэст-Авто Инжиниринг;ул. Покровка, 50/2с5, Москва;+7 (916) 491-03-85;ежедневно, круглосуточно;https://best-avto-inzhiniring-ulica-pokrovka.clients.site/
Garage +;Поклонная ул., 11, стр. 1А;+7 (495) 221-84-80, +7 (965) 390-27-73;"пн-пт 11:30–20:30; сб 11:30–19:30";http://garageplus.ru/
77volvo.ru;Москва, улица Гастелло;+7 (495) 292-31-70;ежедневно, 09:00–21:00;https://77volvo.ru/
ТехРеал;ул. Буракова, 12, стр. 2;+7 (495) 366-85-65, +7 (495) 005-13-46, +7 (915) 123-62-58;ежедневно, 08:00–20:00;http://texreal.ru/
Риф-Авто;Осенняя ул., 17, корп. 2, Москва;+7 (495) 157-46-17, +7 (916) 688-29-47;ежедневно, 10:00–20:00;https://www.rif-auto.ru/
ТурбоОСТ;Гаражная ул., 4, Москва;+7 (925) 518-26-54, +7 (905) 730-75-88, +7 (495) 740-37-89;"пн-пт 08:00–19:00; сб 09:00–16:00";https://www.turboost.ru/remont-turbin
ИП Ермолаев Павел Владимирович;ул. Алабяна, 7, Москва;+7 (915) 237-19-26;ежедневно, круглосуточно;https://evromobilservis.clients.site/
ИП Гордеев Сергей Борисович;ул. Толбухина, 3 к2, Москва;+7 (919) 992-94-14;ежедневно, круглосуточно;
Яуза Моторс;Электродная ул., 14, стр. 1, Москва;+7 (499) 283-04-93;ежедневно, 09:00–21:00;https://www.yauzamotors.ru/
Айрон-лист;ул. Ивана Франко, 4, корп. 16, Москва;+7 (916) 202-97-92;пн-сб 10:00–19:00;http://auto-iron.ru/
Автолайт;Марксистская ул., 34, стр. 7, Москва;+7 (901) 257-49-53;"пн-сб 09:00–21:00; вс 09:00–20:00";http://www.autolight.ru/
Remzo;Загородное ш., 1, корп. 2, Москва;+7 (495) 236-77-03, +7 (495) 776-14-09, +7 (916) 565-94-30;"пн-пт 09:00–19:00; сб,вс 10:00–18:00";https://remzo.wmsite.ru/
Яуза Моторс;Михайловский пр., 1, стр. 3;+7 (499) 283-04-85;ежедневно, 09:00–21:00;https://www.yauzamotors.ru/
Аида;4-я Кабельная ул., 2, корп. 2, Москва;+7 (499) 938-76-93, +7 (495) 361-31-58, +7 (495) 361-32-92;"пн-сб 09:00–20:00; вс 10:00–20:00";https://aida-auto.ru/
БомбаКар;3-й Красносельский пер., 9А;+7 (499) 264-04-60, +7 (985) 369-06-08;пн-пт 10:00–20:00;http://bombacar.ru/
Доминант;Западная ул., 16А, промзона Технопарк, рабочий посёлок Горки Ленинские;8 (800) 300-68-29, +7 (495) 374-98-88, +7 (958) 830-80-83, +7 (926) 473-23-36;пн-пт 09:00–18:00;https://dominantt.ru/
ИП Мамедов Тимур Аловсатович;ул. Алабяна, 25/37, Москва;+7 (915) 237-05-23;ежедневно, 09:00-23:30;
Viktorymotor;Москва, Южный административный округ, район Чертаново Северное, микрорайон Северное Чертаново, 2, корп. 206;+7 (901) 147-90-38, +7 (966) 009-31-79;ежедневно, 09:00–21:00;
Плеяда;2-я Кабельная ул., 2, стр. 30, Москва;+7 (495) 638-52-25, +7 (495) 638-55-44;ежедневно, 09:00–21:00;http://tc-pleyada.ru/
АВ авто;Славянский бул., 7, корп. 2, стр. 2, Москва;+7 (985) 625-23-15;ежедневно, 09:00–20:00;https://av-avto.net/
Savamotor;1-й Магистральный тупик, 5, стр. 2, Москва;+7 (495) 978-68-61, +7 (985) 151-61-81;"пн-пт 10:00–19:00; сб 11:00–16:00";http://www.savamotor.ru/
Meks.ru;Авиамоторная ул., 63, стр. 1, Москва;+7 (495) 766-35-12;вт-сб 11:00–20:00;https://meks.ru/
Фирс;Волоколамское ш., 65А, стр. 3;+7 (495) 106-20-16, +7 (906) 182-82-88;ежедневно, 10:00–20:00;https://firs.su/
ИП Пронин Константин Андреевич;Сиреневый б-р, 4а, Москва;+7 (919) 996-97-20;ежедневно, круглосуточно;
Карклиник;ул. Плеханова, 10, Москва;+7 (985) 231-61-82;ежедневно, 10:00–00:00;https://carclinic.ru/
Джапандрайв;Жуков пр., 19, Москва;+7 (901) 147-85-04, +7 (925) 771-07-93;пн-сб 09:00–19:00;https://avtoglobus-zhukov-proezd.clients.site/
Шинсервис;ш. Энтузиастов, 56, стр. 44, Москва;+7 (495) 152-73-42;"пн-пт 09:00–21:00; сб,вс 09:00–20:00";https://www.shinservice.ru/
Заботливый сервис;Федоскинская ул., 12 с1, Москва, Россия, 129337;+7 (495) 567-11-84;ежедневно, 09:00-21:00;https://ctozs.ru/
Автотрейд;Кетчерская ул., 13, Москва;+7 (495) 642-79-00, 8 (800) 555-54-15;ежедневно, 09:00–19:00;https://www.autosteklo.ru/
ИП Кожевников Алексей Сергеевич;ул. Героев Панфиловцев, 39 корпус 1, Москва;+7 (919) 996-97-98;ежедневно, круглосуточно;
Импульс;Нижняя ул., 16, стр. 2, район Беговой, Северный административный округ;+7 (495) 945-19-91, +7 (495) 945-18-68, +7 (495) 961-96-33;пн-сб 09:00–19:00;http://rf.ru/
Cvt - Master;Стахановская ул., 25, стр. 3, Москва;+7 (977) 090-49-14;"пн-сб 09:00–19:00; вс 10:00–15:00";https://cvt-master.com/remont-cvt/
Колесо-24;Московская область, городской округ Красногорск, Пятницкое шоссе, 6-й километр, с9;+7 (926) 108-49-58;ежедневно, 09:00–23:30;http://шиномонтаж-митино.рф/
ДИС Моторс;П. Воскресенское, 69с2, Москва, Россия, 142791;+7 (966) 335-33-38;сб 11:00-20:00;https://dismotors.ru/
Детали в цвет;Большая Черкизовская ул., 24А, стр. 3, Москва;+7 (901) 901-25-75;пн-сб 10:00–20:00;https://detali-v-cvet.ru/
Перово;Кетчерская ул., 13, Москва;+7 (917) 550-04-68;ежедневно, 08:00–20:00, перерывы 12:00–13:00, 18:00–19:00;http://perovosto.ru/
ИП Мотлаков Алексей Егорович;Карамышевская наб., 28 корпус 1, Москва;+7 (916) 490-92-83;ежедневно, круглосуточно;
Автобам;ул. Твардовского, 8, корп. 5, Москва;+7 (495) 215-27-19, +7 (495) 255-02-85;ежедневно, 09:00–21:00;https://www.avtobam.ru/
MasterHof;Остаповский пр., 12, стр. 1, Москва;+7 (495) 729-29-48, +7 (903) 729-29-48;пн-сб 10:00–20:00;http://www.masterhof.ru/
Автотехцентр Фольксваген;Нагатинская ул., 16, корп. 1, стр. 5;+7 (495) 169-36-06;ежедневно, 08:00–21:00;https://nemdomservice.ru/
Народ-авто;МКАД, 53-й километр, 6;+7 (495) 720-23-24, +7 (495) 508-05-77, +7 (903) 508-05-77, +7 (909) 620-00-00, +7 (926) 576-31-90;ежедневно, 09:00–20:00;http://avtoservis.narod-avto.ru/
Пункт технического осмотра;Новохохловская ул., 12, стр. 6, Москва;+7 (495) 721-25-03;пн-пт 09:00–19:00;http://техосмотр-в-москве.рф/
Легион Авто;Варшавское ш., 170Г;+7 (495) 517-34-00;ежедневно, 09:00–21:00;http://www.legion-auto.pro/
Авто-Драйв;Днепропетровский пр., 7, Москва;+7 (495) 255-26-07, +7 (495) 125-11-38, +7 (495) 255-09-84;ежедневно, 10:00–21:00;https://autoservice-drive.ru/
Avl;Новомосковская ул., 1Ж;+7 (495) 532-43-31, +7 (925) 458-25-86;пн-пт 12:00–20:00;http://centeravtolab.ru/
АвтоКарат;2-й Силикатный пр., 34, стр. 1, Москва;+7 (499) 110-70-75;ежедневно, 09:00–21:00;https://autokarat.ru/
Авторусь;Севастопольский просп., 56А;+7 (495) 276-15-21;ежедневно, 09:00–22:00;https://www.autorus.ru/
Бикард;ул. Плеханова, 10А, стр. 2, Москва;+7 (495) 778-04-68, +7 (495) 973-08-68, +7 (495) 973-18-28, +7 (495) 981-81-27;ежедневно, 10:00–20:00;http://www.chryslerclub.ru/
Авто-игл;Краснобогатырская ул., 89, стр. 1;+7 (495) 275-23-79;ежедневно, 08:30–21:00;https://avto-igl.obiz.ru/
Ремавтоснаб;2-й Грайвороновский пр., 32А, стр. 1, Москва;+7 (495) 776-38-77, +7 (916) 480-66-26, +7 (903) 196-97-98, +7 (495) 799-70-71;"пн-пт 09:00–21:00; сб,вс 10:00–18:00";https://remavtosnab.clients.site/
Роснефть;Рязанский просп., 26, корп. 2;8 (800) 775-75-88, 8 (800) 200-10-70;ежедневно, круглосуточно;https://www.rosneft-azs.ru/
Авто;Дмитровское ш., 64, корп. 6, Москва;+7 (499) 400-20-05, +7 (499) 400-20-06, +7 (985) 934-86-10;ежедневно, 08:00–20:00;https://www.tempavto.ru/
Autostudio.ru;ул. Перерва, 19, стр. 3, Москва;+7 (495) 722-65-97, +7 (495) 960-80-07;ежедневно, 09:00–21:00;http://autostudio.ru/
Аояма Моторс;Домостроительная ул., 4, стр. 1, Москва;+7 (495) 363-43-33;ежедневно, 08:00–21:00;https://service.aoyama.ru/
Автогур;Тушинская ул., 24, Москва;+7 (495) 972-39-95, +7 (901) 546-39-95, +7 (495) 144-95-49;ежедневно, 09:00–20:00;http://autogur.ru/
ТойЛекс;Гаражная ул., 4, Москва;+7 (965) 230-12-74, +7 (926) 000-30-40;ежедневно, 09:00–19:00;https://toylex77.ru/
Смит Техникс;Перовская ул., 1, стр. 10, Москва;+7 (495) 726-59-96, +7 (903) 565-97-18;"пн-пт 09:00–21:00; сб,вс 09:00–18:00";http://smith-technics.ru/
Вельт-Авто;1-й Митинский пер., вл3с1;+7 (495) 777-88-62, +7 (977) 641-73-38, +7 (495) 725-66-73;ежедневно, 09:00–21:00;https://welt-auto.ru/
Автокип;Волгоградский просп., 32, корп. 11, Москва;+7 (495) 278-08-05;ежедневно, 09:00–21:00;https://autokip.ru/
Lr.ru;Дорогобужская ул., 14, стр. 17, Москва;+7 (495) 649-60-60;ежедневно, 09:00–21:00;https://lr.ru/
Аквасити;Волгоградский просп., 37А, Москва;+7 (495) 287-00-07, +7 (909) 999-55-51, +7 (963) 750-70-75;ежедневно, 08:00–22:00;http://www.akvacity.ru/
Автосан;пр. Серебрякова, 2, корп. 1, Москва;+7 (915) 115-29-99;ежедневно, 10:00–19:00;http://avtosan.ru/
Токио Сервис;Научный пр., 14А, стр. 5, Москва;+7 (499) 288-05-37;ежедневно, 08:00–22:00;https://www.tokyogarage.ru/
Иванор;Флотская ул., 5, корп. 2, Москва;+7 (495) 927-59-35;"пн-пт 09:00–21:00; сб,вс 10:00–18:00";https://msk.ivanor.ru/
Мв95;Староватутинский пр., 5, стр. 3;+7 (901) 553-11-22, +7 (963) 976-03-11, +7 (916) 025-04-04;ежедневно, 10:00–21:00;http://avtoremont-gm.ru/
Яуза Моторс;Волоцкой пер., 7, Москва;+7 (499) 283-04-87;ежедневно, 09:00–21:00;https://www.yauzamotors.ru/
Спецавтоцентр ГлавУпДК при МИД России;Киевская ул., 8, Москва;+7 (499) 558-36-98, +7 (499) 766-17-77, +7 (499) 240-55-74;ежедневно, 09:00–21:00;https://sac.ru/
Шинсервис;Южнопортовая ул., 7, стр. 21, Москва;+7 (495) 152-73-42;"пн-пт 09:00–21:00; сб,вс 09:00–20:00";https://www.shinservice.ru/
Агранд;Огородный пр., 2А, Москва;+7 (495) 120-44-16;"пн-сб 09:00–21:00; вс 09:00–20:00";http://servis-agrand.ru/
Мой Сам 24;ул. Толбухина, 10, корп. 4;+7 (966) 090-01-87, +7 (495) 648-53-26, +7 (925) 325-21-65, +7 (964) 648-53-26;ежедневно, 06:00–02:00;http://www.gsavto.ru/
Шэнли моторс;ш. Энтузиастов, 12А, Москва;+7 (495) 918-16-14;ежедневно, 09:00–21:00;http://www.shenli.ru/
Витанд-Сервис;Ярославское ш., 1, стр. 6, Москва;+7 (495) 778-84-84, +7 (495) 778-18-97;пн-сб 09:00–21:00;https://vitand-avtoservis.ru/
Hybrids;ул. Садовники, 11, корп. 2, стр. 20, Москва;+7 (495) 789-77-86, +7 (965) 227-56-19, +7 (965) 227-61-82;"пн-пт 10:00–20:00; сб,вс 10:00–18:00";https://hybrids.ru/
МБРУС;МКАД, 84-й километр, вл5с9, Москва;+7 (495) 127-93-21, +7 (495) 153-10-38, +7 (495) 846-65-74;ежедневно, 08:00–21:00;http://mbr.ru/
Катана;2-й Грайвороновский пр., 40, стр. 1, Москва;+7 (963) 782-24-18, +7 (963) 782-24-17, +7 (925) 508-76-74, +7 (495) 789-90-54, +7 (925) 005-60-38;пн-пт 10:00–20:00;http://katana-suzuki.ru/
Стилберг-авто;ул. Героев Панфиловцев, 26, Москва;+7 (495) 172-22-38;ежедневно, 08:00–21:00;https://stilberg.ru/planernaya
Мейн Моторс;1-й Институтский пр., 3, стр. 8, Москва;+7 (495) 585-99-11, +7 (499) 174-84-84, +7 (925) 585-99-11, +7 (967) 008-98-98;ежедневно, 10:00–19:00;http://sto177.ru/
Ваш Автосервис;3-й Угрешский пр., 8А, стр. 1, Москва;+7 (985) 741-98-42;ежедневно, 07:00–23:00;http://um-servis.ru/
SRV-Motors;ул. Дмитрия Ульянова, 44, стр. 7;+7 (495) 641-66-84;ежедневно, 10:00–21:00;https://srv-motors.clients.site/
Гараж Ниссан, Инфинити;ул. Тёплый Стан, 15, стр. 1, Москва;+7 (495) 104-77-12;"пн-пт 09:00–21:00; сб,вс 10:00–21:00";https://www.nissan-nissan.ru/
Авто-партнёр-М;4-й Рощинский пр., 19, стр. 4;+7 (495) 958-58-01, +7 (495) 782-49-23;ежедневно, 10:00–21:00;https://autopartner-m.ru/
Мв-Авто;ул. Войкова, 6, стр. 19;+7 (495) 988-32-02, +7 (925) 831-37-77;ежедневно, 09:00–19:00;http://www.mv-auto.ru/
ДжапАвто;ул. Цюрупы, 1, стр. 19, Москва;+7 (495) 772-40-98, +7 (495) 761-95-78;"пн-сб 09:00–19:00; вс 10:00–17:00";https://taplink.cc/japauto.ru
Илотана;Мосфильмовская ул., 80А, Москва;+7 (977) 929-90-23, +7 (499) 143-28-43, +7 (499) 147-15-00;ежедневно, 09:00–20:00;http://www.ilotana.ru/
АвтоГенераторыСтартеры;Сигнальный пр., 18, Москва;+7 (499) 322-47-02;"пн-пт 09:00–19:00; сб,вс 10:00–18:00";https://www.agscenter.ru/contacts/vladykino/
АвтоКомМаркет;Строительный пр., 2, стр. 1, Москва;+7 (495) 782-56-67, +7 (916) 787-56-67, +7 (926) 787-56-67;ежедневно, 09:00–19:00;https://www.autocommarket.ru/
Apex.ru;Коптевская ул., 16, корп. 2;+7 (499) 455-01-58, 8 (800) 555-79-68, +7 (495) 450-71-78, +7 (495) 150-18-88, +7 (495) 150-05-88, +7 (499) 444-03-69, +7 (925) 771-25-66;ежедневно, 08:00–23:00;http://apex.ru/
Франс-Авто;Талдомская ул., 2Б, Москва;+7 (925) 355-55-68, +7 (925) 755-55-68, +7 (962) 944-34-45;"пн-пт 09:00–19:00; сб 09:00–16:00";http://franceato.ru/
Роснефть;ул. Айвазовского, 2А, стр. 1, Москва;8 (800) 775-75-88, +7 (925) 902-08-30;ежедневно, круглосуточно;https://www.rosneft-azs.ru/
Ротекс;Дубининская ул., 70, Москва;+7 (495) 225-30-35;"пн-сб 09:00–21:00; вс 09:00–20:45";https://www.roteks.ru/
Рейспорт;1-я Магистральная ул., 29, стр. 1, Москва;+7 (495) 741-72-82, +7 (499) 281-85-76;"пн-пт 10:00–21:00; сб,вс 11:00–20:00";http://raceport.ru/
Позиция 2000;Днепропетровский пр., 5, стр. 1, Москва;+7 (903) 764-91-75, +7 (925) 506-44-86, +7 (495) 381-21-87;"пн-пт 10:00–20:00; сб 10:00–17:00";http://www.mercedes-service.ru/
Цезарь Ротари;ул. Адмирала Макарова, 2, стр. 26;+7 (926) 555-05-00;пн-сб 10:00–18:00;http://www.caesar-rotary.ru/
АвтоВито;Южнопортовая ул., 15, стр. 23А, Москва;+7 (495) 662-66-61, +7 (495) 739-75-65;ежедневно, 09:00–20:00;https://avtovito-moscow.ru/
Лорант;Кольская ул., 14, стр. 4, Москва;+7 (495) 669-59-69;ежедневно, 09:00–21:00;https://lorant.ru/
Svc Car Servis;ул. Милашенкова, 4Б, Москва;+7 (916) 984-48-49;ежедневно, 10:00–20:00;http://svccar.ru/
Юнион Моторс;Широкая ул., 28;+7 (495) 221-75-55;"пн-пт 07:00–21:00; сб,вс 08:00–21:00";http://hyundai.union-motors.ru/
Автотрейд;ул. Сергея Эйзенштейна, 1, Москва;+7 (495) 642-79-00, 8 (800) 555-54-15;ежедневно, 09:00–19:00;https://www.autosteklo.ru/
Skr-auto;Дмитровское ш., 71, корп. 3, стр. 2, Москва;+7 (495) 663-71-26;ежедневно, 10:00–21:00;http://skr-auto.ru/
Авторусь;Митинская ул., 32;+7 (495) 276-15-21;ежедневно, 09:00–22:00;https://www.autorus.ru/
СниваАвтоМБ;Сигнальный пр., 19, Москва;+7 (495) 787-78-68, +7 (499) 201-23-57, +7 (916) 044-97-01;пн-сб 10:00–20:00;http://sniva.ru/
Сд-моторс;ул. Дмитрия Ульянова, 31, стр. 2;+7 (495) 779-78-14, +7 (499) 126-41-41, +7 (495) 779-79-84;ежедневно, 10:00–21:00;http://sd-motors.ru/
